"_id__$oid","parentIds__-","title","createdDate","dates__due","dates__start","dates__type","user__$oid","__v","description","briefDescription","roles","status","authorIds__-","dependencyIds","attachents","dependencyIds____001","dependencyIds____002","dependencyIds____003"
"5a291e5ad2ae994d8c83a4db","5a291e1dd2ae994d8c83a4b0","LL: ID Comms System(s)","2017-12-07T10:56","2018-01-20T09:09","2017-12-30T09:09","Planned","59fb4c444df99e7c5518e758","0","","","null","Active","KUAC7Y6X","","","","",""
"5a291e69d2ae994d8c83a4dc","5a291e1dd2ae994d8c83a4b0","LL: ID Key Contact","2017-12-07T10:56","2018-04-04T09:09","2018-01-04T09:09","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a291e77d2ae994d8c83a4dd","5a291e1dd2ae994d8c83a4b0","LL: Intro Elevate to Key Contact","2017-12-07T10:56","2018-02-15T09:09","2018-01-04T09:09","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a291f03d2ae994d8c83a4de","5a291e1dd2ae994d8c83a4b1","TNT: ID Comms System(s)","2017-12-07T10:59","2018-09-13T12:12","2017-12-30T12:12","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a291f29d2ae994d8c83a4df","5a291e1dd2ae994d8c83a4b1","TNT: ID Key Contact","2017-12-07T10:59","2018-11-16T12:12","2017-12-31T12:12","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a295624d2ae994d8c83a4e0","5a291e1dd2ae994d8c83a4b1","TNT: Intro Elevate to Key Contact","2017-12-07T14:54","2019-01-09T09:00","2017-12-30T09:00","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a295653d2ae994d8c83a4e1","5a291e1dd2ae994d8c83a4b3","LL: Concierge Needs","2017-12-07T14:55","2018-01-31T10:10","2017-12-22T10:10","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a295670d2ae994d8c83a4e2","5a291e1dd2ae994d8c83a4b3","LL: ID Key Contact","2017-12-07T14:55","2018-01-30T12:12","2017-12-28T12:12","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
"5a295693d2ae994d8c83a4e3","5a291e1dd2ae994d8c83a4b3","LL: ID System(s)","2017-12-07T14:56","2018-04-12T09:10","2017-12-22T09:10","Planned","59fb4c444df99e7c5518e758","0","","","null","Active","","","","","",""
"5a2956b2d2ae994d8c83a4e4","5a291e1dd2ae994d8c83a4b3","LL: Intro Elevate to Key Contact","2017-12-07T14:56","2018-03-14T10:10","2017-12-30T10:10","Planned","59fb4c444df99e7c5518e758","0","","","5a38e11db707f85334b3798b","Active","","","","","",""
